names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CFD,29.158747,1.8145725,6.471715595629299e-187,6.289502243907697e-186,0.0698610707011929
COTL1,29.123198,0.6884006,1.8257633436291523e-186,1.757297218243059e-185,0.2503491416933372
MMP2,28.875982,1.3686811,2.391394856329024e-183,2.2797964297003363e-182,0.07834594122781495
TUBB4B,28.647173,0.51468533,1.738495534325389e-180,1.6113278054256616e-179,0.2199483561245272
IL6R,28.430645,0.95147824,8.455737849526878e-178,7.694721443069459e-177,0.11488943846377656
COL1A2,26.838104,1.2731966,1.1613054997257852e-158,9.687223376879258e-158,0.08129909805062555
FKBP5,26.814768,0.40839475,2.1737026891067144e-158,1.798244951897373e-157,0.2055608088449229
CLDN4,26.21186,0.81405056,1.9466292894259123e-151,1.597193375996179e-150,0.1312809135874309
MYL9,25.99236,0.43796644,6.041933663204206e-149,4.877399674893073e-148,0.1585030549898167
TNFRSF12A,24.761883,0.7761134,2.3090431946761133e-135,1.8057439358365543e-134,0.10928135001454757
HAVCR1,24.715736,1.0956104,7.245013362119224e-135,5.578660288831802e-134,0.08283750363689264
COL1A1,24.668213,0.6364845,2.3468646083626567e-134,1.793291200741236e-133,0.12206866453302298
C11orf96,24.293266,0.71071535,2.3094302504343865e-130,1.738150135853249e-129,0.11777349432644749
CUBN,24.173208,0.52850837,4.2577057518890944e-129,3.180569744508197e-128,0.18524512656386383
PIGR,24.109734,0.8717695,1.976160627614988e-128,1.4652865098093355e-127,0.11949738143729997
SQSTM1,23.777374,0.33600754,5.726359523702441e-125,4.214769031783929e-124,0.3305717195228397
ENG,23.492916,0.5673175,4.8187838576416135e-122,3.470217727697306e-121,0.12264693046261274
CYP1B1,23.144226,0.64305806,1.6620380274138154e-118,1.188357189600878e-117,0.10664823974396276
COL14A1,22.273373,1.5566386,6.696746002293884e-110,4.687722201605719e-109,0.058121181262729124
LMNA,22.066706,0.83281344,6.603193327033417e-108,4.5901364724725346e-107,0.08593249927262148
IGFBP6,21.955618,1.1858155,7.653543917375634e-107,5.283584456064145e-106,0.06849723596159442
